year_month;total_cost;cnt;average_paid_per_month
202001; R$451,700,844.00 ;443768; R$1,017.88 
202002; R$459,759,140.00 ;442844; R$1,038.20 
202003; R$594,203,305.00 ;571236; R$1,040.21 
202004; R$404,656,236.00 ;390434; R$1,036.43 
202005; R$263,712,735.00 ;254103; R$1,037.82 
202006; R$262,130,552.00 ;252513; R$1,038.09 
202007; R$161,946,316.00 ;156328; R$1,035.94 
202008; R$126,369,650.00 ;122843; R$1,028.71 
202009; R$152,464,304.00 ;148126; R$1,029.29 
202010; R$202,470,288.00 ;195291; R$1,036.76 
202011; R$148,502,992.00 ;142771; R$1,040.15 
202012; R$112,592,343.00 ;108257; R$1,040.05 
202101; R$120,470,797.00 ;113115; R$1,065.03 
202102; R$541,444,079.00 ;493402; R$1,097.37 
202103; R$973,548,782.00 ;886539; R$1,098.15 
202104; R$366,355,354.00 ;335159; R$1,093.08 
202105; R$248,329,308.00 ;228103; R$1,088.67 
202106; R$152,798,284.00 ;140897; R$1,084.47 
202107; R$160,037,572.00 ;148341; R$1,078.85 
202108; R$143,191,314.00 ;134742; R$1,062.71 
202109; R$209,677,249.00 ;198208; R$1,057.86 
202110; R$226,763,437.00 ;210950; R$1,074.96 
202111; R$186,279,839.00 ;172199; R$1,081.77 
202112; R$274,390,456.00 ;252013; R$1,088.79 
202201; R$429,735,162.00 ;378285; R$1,136.01 
202202; R$531,466,455.00 ;441894; R$1,202.70 
